Model,Accuracy,Precision,Recall,F1-Score,Timestamp
XGBoost,0.7694915254237288,0.7633022976849878,0.7694915254237288,0.7628444517114099,2024-06-27 11:40:09
LightGBM,0.7661016949152543,0.757404897248009,0.7661016949152543,0.7574796999918997,2024-06-27 11:40:10
Gradient Boosting,0.7649717514124293,0.7522420266929696,0.7649717514124293,0.7523991232132382,2024-06-27 11:40:08
Random Forest,0.7638418079096045,0.7479891769432506,0.7638418079096045,0.7484515302735625,2024-06-27 11:40:00
SVM,0.7581920903954802,0.7513235239336935,0.7581920903954802,0.7440918759181377,2024-06-27 11:39:57
Regresión Logística,0.752542372881356,0.7340833505891269,0.752542372881356,0.7363081777186452,2024-06-27 11:39:56
AdaBoost,0.7435028248587571,0.7220019054901176,0.7435028248587571,0.726957083501547,2024-06-27 11:40:01
LDA,0.7378531073446327,0.7381215463711595,0.7378531073446327,0.728637291494608,2024-06-27 11:39:56
QDA,0.7129943502824859,0.7140619706576649,0.7129943502824859,0.7108799779372912,2024-06-27 11:40:00
Naive Bayes,0.6926553672316385,0.6808496622313589,0.6926553672316385,0.6798231949956989,2024-06-27 11:39:55
Árboles de Decisión,0.6790960451977401,0.6862658970321104,0.6790960451977401,0.6815948425753542,2024-06-27 11:39:57
